;Date;Kick-Off Time;Day;Home;Home Goals;Away;Away Goals;STADIUM;COMPETITION;Season;Attendance;Result;Latitude;Longitude;Viewership
0;2017-08-20 00:00:00;;Sunday;Bloemfontein Celtic;1;Kaizer Chiefs;1;Toyota Satdium;ABSA Premiership;2017/2018;30000;Draw;-29,1173;26,2088;
1;2017-08-23 00:00:00;;Wednesday;Kaizer Chiefs;1;SuperSport United;2;FNB Stadium;ABSA Premiership;2017/2018;44000;Loss;-26,2348;27,9827;
2;2017-09-13 00:00:00;;Wednesday;Cape Town City;0;Kaizer Chiefs;2;Cape Town Stadium;ABSA Premiership;2017/2018;27000;Win;-33,9036;18,4111;
3;2017-09-16 00:00:00;;Saturday;Kaizer Chiefs;1;Bidvest Wits;1;FNB Stadium;ABSA Premiership;2017/2018;7200;Draw;-26,2348;27,9827;
4;2017-09-20 00:00:00;;Wednesday;Maritzburg United;0;Kaizer Chiefs;2;Harry Gwala Stadium;ABSA Premiership;2017/2018;13000;Win;-29,6185;30,3861;
5;2017-09-23 00:00:00;;Saturday;Kaizer Chiefs;0;Golden Arrows;0;FNB Stadium;ABSA Premiership;2017/2018;5300;Draw;-26,2348;27,9827;
6;2017-09-30 00:00:00;;Saturday;Kaizer Chiefs;1;Baroka FC;2;Moses Mabhida Stadium;ABSA Premiership;2017/2018;21280;Loss;-29,8291;31,0304;
7;2017-10-17 00:00:00;;Tuesday;Mamelodi Sundowns;1;Kaizer Chiefs;2;Loftus Versfeld Stadium;ABSA Premiership;2017/2018;35000;Win;-25,7533;28,2229;
8;2017-10-21 00:00:00;;Saturday;Kaizer Chiefs;0;Orlando Pirates;0;FNB Stadium;ABSA Premiership;2017/2018;75000;Draw;-26,2348;27,9827;
9;2017-10-31 00:00:00;;Tuesday;Polokwane City;0;Kaizer Chiefs;0;Peter Mokaba Stadium;ABSA Premiership;2017/2018;13500;Draw;-23,9248;29,4688;
10;2017-11-22 00:00:00;;Wednesday;Amazulu;0;Kaizer Chiefs;0;King Goodwill Zwelithini Stadium;ABSA Premiership;2017/2018;5000;Draw;-29,9702;30,8971;
11;2017-11-25 00:00:00;;Saturday;Kaizer Chiefs;1;Free State Stars;1;Moses Mabhida Stadium;ABSA Premiership;2017/2018;11000;Draw;-29,8291;31,0304;
12;2017-12-06 00:00:00;;Wednesday;Chippa United;1;Kaizer Chiefs;0;Nelson Mandela Bay Stadium;ABSA Premiership;2017/2018;14997;Loss;-33,9379;25,5992;
13;2017-12-09 00:00:00;;Saturday;Platinum Stars;0;Kaizer Chiefs;1;Royal Bafokeng Stadium;ABSA Premiership;2017/2018;8657;Win;-25,5787;27,1609;
14;2017-12-16 00:00:00;;Saturday;Kaizer Chiefs;1;Ajax Cape Town;0;Moses Mabhida Stadium;ABSA Premiership;2017/2018;14669;Win;-29,8291;31,0304;
15;2018-01-06 00:00:00;;Saturday;SuperSport United;0;Kaizer Chiefs;0;Mbombela Stadium;ABSA Premiership;2017/2018;22816;Draw;-25,4617;30,9297;
16;2018-01-13 00:00:00;;Saturday;Kaizer Chiefs;2;Polokwane City;1;FNB Stadium;ABSA Premiership;2017/2018;11000;Win;-26,2348;27,9827;
17;2018-01-21 00:00:00;;Sunday;Baroka FC;1;Kaizer Chiefs;2;Peter Mokaba Stadium;ABSA Premiership;2017/2018;24700;Win;-23,9248;29,4688;
18;2018-01-27 00:00:00;;Saturday;Kaizer Chiefs;0;Mamelodi Sundowns;0;FNB Stadium;ABSA Premiership;2017/2018;90000;Draw;-26,2348;27,9827;
19;2018-02-03 00:00:00;;Saturday;Bidvest Wits;1;Kaizer Chiefs;1;Bidvest Stadium;ABSA Premiership;2017/2018;5500;Draw;-26,1877;28,0285;
20;2018-02-17 00:00:00;;Saturday;Kaizer Chiefs;1;Cape Town City;0;FNB Stadium;ABSA Premiership;2017/2018;12000;Win;-26,2348;27,9827;
21;2018-02-24 00:00:00;;Saturday;Kaizer Chiefs;0;Bloemfontein Celtic;0;Moses Mabhida Stadium;ABSA Premiership;2017/2018;12000;Draw;-29,8291;31,0304;
22;2018-03-03 00:00:00;;Saturday;Orlando Pirates;3;Kaizer Chiefs;1;FNB Stadium;ABSA Premiership;2017/2018;86314;Loss;-26,2348;27,9827;
23;2018-03-17 00:00:00;;Saturday;Kaizer Chiefs;0;Amazulu;0;FNB Stadium;ABSA Premiership;2017/2018;3000;Draw;-26,2348;27,9827;
24;2018-04-04 00:00:00;;Wednesday;Free State Stars;0;Kaizer Chiefs;1;Goble Park Stadium;ABSA Premiership;2017/2018;5200;Win;-28,2319;28,3044;
25;2018-04-07 00:00:00;;Saturday;Kaizer Chiefs;0;Chippa United;3;FNB Stadium;ABSA Premiership;2017/2018;8300;Loss;-26,2348;27,9827;
26;2018-04-15 00:00:00;;Sunday;Kaizer Chiefs;1;Platinum Stars;0;FNB Stadium;ABSA Premiership;2017/2018;4500;Win;-26,2348;27,9827;
27;2018-04-24 00:00:00;;Tuesday;Golden Arrows;3;Kaizer Chiefs;1;Princess Magogo Stadium;ABSA Premiership;2017/2018;2000;Loss;-29,7442;30,9712;
28;2018-04-28 00:00:00;;Saturday;Kaizer Chiefs;2;Maritzburg United;0;FNB Stadium;ABSA Premiership;2017/2018;2000;Win;-26,2348;27,9827;
29;2018-05-12 00:00:00;;Saturday;Ajax Cape Town;1;Kaizer Chiefs;2;Cape Town Stadium;ABSA Premiership;2017/2018;20000;Win;-33,9036;18,4111;
30;2018-08-04 00:00:00;;Saturday;Mamelodi Sundowns;1;Kaizer Chiefs;1;Loftus Versfeld Stadium;ABSA Premiership;2018/2019;40000;Draw;-25,7533;28,2229;
31;2018-08-07 00:00:00;;Tuesday;Kaizer Chiefs;1;Bidvest Wits;3;FNB Stadium;ABSA Premiership;2018/2019;7300;Loss;-26,2348;27,9827;
32;2018-08-14 00:00:00;;Tuesday;Baroka FC;1;Kaizer Chiefs;1;Peter Mokaba Stadium;ABSA Premiership;2018/2019;15943;Draw;-23,9248;29,4688;
33;2018-08-17 00:00:00;;Friday;Maritzburg United;0;Kaizer Chiefs;0;Harry Gwala Stadium;ABSA Premiership;2018/2019;12000;Draw;-29,6185;30,3861;
34;2018-08-29 00:00:00;;Wednesday;Kaizer Chiefs;2;Bloemfontein Celtic;2;FNB Stadium;ABSA Premiership;2018/2019;2000;Draw;-26,2348;27,9827;
35;2018-09-15 00:00:00;;Saturday;Cape Town City;1;Kaizer Chiefs;4;Cape Town Stadium;ABSA Premiership;2018/2019;35000;Win;-33,9036;18,4111;
36;2018-09-18 00:00:00;;Tuesday;Free State Stars;0;Kaizer Chiefs;2;Goble Park Stadium;ABSA Premiership;2018/2019;5000;Win;-28,2319;28,3044;
37;2018-09-22 00:00:00;;Saturday;Kaizer Chiefs;2;Amazulu;0;FNB Stadium;ABSA Premiership;2018/2019;13000;Win;-26,2348;27,9827;
38;2018-10-02 00:00:00;;Tuesday;Highlands Park;0;Kaizer Chiefs;0;Makhulong Stadium;ABSA Premiership;2018/2019;13000;Draw;-25,9991;28,2302;
39;2018-10-06 00:00:00;;Saturday;Kaizer Chiefs;0;Polokwane City;1;Moses Mabhida Stadium;ABSA Premiership;2018/2019;;Loss;-29,8291;31,0304;
40;2018-10-27 00:00:00;;Saturday;Orlando Pirates;2;Kaizer Chiefs;1;FNB Stadium;ABSA Premiership;2018/2019;82000;Loss;-26,2348;27,9827;
41;2018-11-07 00:00:00;;Wednesday;Kaizer Chiefs;1;Black Leopards;0;FNB Stadium;ABSA Premiership;2018/2019;7000;Win;-26,2348;27,9827;
42;2018-11-10 00:00:00;;Saturday;Kaizer Chiefs;0;Chippa United;0;Moses Mabhida Stadium;ABSA Premiership;2018/2019;;Draw;-29,8291;31,0304;
43;2018-12-01 00:00:00;;Saturday;Golden Arrows;2;Kaizer Chiefs;1;Princess Magogo Stadium;ABSA Premiership;2018/2019;6000;Loss;-29,7442;30,9712;
44;2018-12-12 00:00:00;;Wednesday;Kaizer Chiefs;1;SuperSport United;0;Mbombela Stadium;ABSA Premiership;2018/2019;16000;Win;-25,4617;30,9297;
45;2019-01-05 00:00:00;;Saturday;Kaizer Chiefs;1;Mamelodi Sundowns;2;FNB Stadium;ABSA Premiership;2018/2019;46000;Loss;-26,2348;27,9827;
